market_side,timestamp_utc,price_yes_cents,price_no_cents,volume,taker_side,trade_id
SAM,2026-08-30T23:48:21.969687Z,9.0,91.0,20.0,no,07210145-d621-b078-91bc-dd869fb997f7
SAM,2026-08-30T23:56:16.095665Z,13.0,87.0,7.25,yes,07210021-bbb1-9df7-dd7c-f6aef84e9e58
SAM,2026-08-30T23:58:09.745973Z,9.0,91.0,104.45,yes,07210175-8ca1-84ea-29ba-b760a74cdfa7
SAM,2026-08-31T00:58:56.914566Z,9.0,91.0,200.0,yes,0721001f-6cd9-8926-bedb-972a7541f1d6
SAM,2026-08-31T01:52:11.845093Z,13.0,87.0,47.0,yes,0721036e-7311-8310-03ed-7080b076fb9e
SAM,2026-08-31T01:52:30.935518Z,13.0,87.0,3.0,no,07210396-2839-adeb-8fb8-f26a3465e87c
SAM,2026-08-31T01:52:30.935518Z,14.0,86.0,1.07,no,07210396-2421-ac25-90da-f3318b6e9898
SAM,2026-08-31T02:47:37.86921Z,21.0,79.0,1.0,yes,0721037d-0679-96e1-b0d9-363c1a84edd6
SAM,2026-08-31T02:47:37.86921Z,22.0,78.0,16.24,yes,07210350-0f09-94b0-aaa5-22781f015b9a
SAM,2026-08-31T04:01:52.502878Z,29.0,71.0,26.28,yes,0721021d-0a11-8718-759a-1853eedf4db0
SAM,2026-08-31T07:11:05.152833Z,16.0,84.0,1.0,no,07210c00-dab1-a955-d12f-e6f272c1e0b0
SAM,2026-08-31T07:11:52.058232Z,15.0,85.0,3.0,no,07210c05-fd11-88d1-a00c-074c71cb07e0
SAM,2026-08-31T07:11:52.058232Z,15.0,85.0,100.0,no,07210c00-cbe9-8a65-981a-3d3b6dee48e3
SAM,2026-08-31T07:11:52.093614Z,15.0,85.0,24.0,yes,07210c0d-09c1-ac17-3761-7caf5a0dcd89
SAM,2026-08-31T08:23:47.256901Z,13.0,87.0,1.0,yes,07210d41-c7a1-a7bd-f3b7-c8c457300252
SAM,2026-08-31T08:24:27.873001Z,13.0,87.0,1.0,yes,07210d46-b749-927e-a3b5-bc513e6f3326
SAM,2026-08-31T08:25:33.187729Z,13.0,87.0,1.0,yes,07210d5d-ff51-b4df-8e1b-ea0b8530f624
SAM,2026-08-31T08:27:28.432912Z,13.0,87.0,1.0,yes,07210d56-d399-958c-63d7-ac47a80f52db
SAM,2026-08-31T08:28:57.512504Z,13.0,87.0,1.0,yes,07210d51-c189-8a91-8ba2-3740f0dd3759
SAM,2026-08-31T09:01:56.591225Z,13.0,87.0,1.0,yes,07210b3a-dd39-bebd-490f-2aa1355da04e
SAM,2026-08-31T09:05:10.296047Z,13.0,87.0,1.0,yes,07210b52-48b1-a90c-e9d5-5b74cf0821f3
SAM,2026-08-31T09:06:59.794814Z,13.0,87.0,1.0,yes,07210b5b-fbd9-b36e-d104-c7dc0feeec40
SAM,2026-08-31T09:09:04.521916Z,13.0,87.0,1.0,yes,07210b45-3b49-9d4f-18bc-bd748f50030e
SAM,2026-08-31T09:13:56.406143Z,13.0,87.0,1.0,yes,07210b7b-8d91-b206-53ac-893b28305b1f
