market_side,timestamp_utc,open_cents,close_cents,high_cents,low_cents,yes_bid_close_cents,yes_ask_close_cents,volume,open_interest
SAM,2026-08-18T16:00:00+00:00,,,,,5.0,95.0,0.0,0.0
SAM,2026-08-18T17:00:00+00:00,,,,,7.0,93.0,0.0,0.0
SAM,2026-08-18T22:00:00+00:00,,,,,7.0,90.0,0.0,0.0
SAM,2026-08-19T00:00:00+00:00,,,,,7.0,90.0,0.0,0.0
SAM,2026-08-19T02:00:00+00:00,,,,,7.0,90.0,0.0,0.0
SAM,2026-08-19T18:00:00+00:00,,,,,7.0,30.0,0.0,0.0
SAM,2026-08-21T03:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T04:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T05:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T06:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T07:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T08:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T09:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T10:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T11:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T12:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T13:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T14:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T15:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T16:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T17:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T18:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T19:00:00+00:00,,,,,8.0,29.0,0.0,0.0
SAM,2026-08-21T20:00:00+00:00,,,,,8.0,29.0,0.0,0.0
