market_side,timestamp_utc,yes_bid_cents,yes_ask_cents,quoted_mid_cents,spread_cents,raw_last_trade_cents,volume,open_interest,is_liquid,tight_quote,filtered_price_cents,price_source
SAM,2026-08-18T16:00:00+00:00,5.0,95.0,50.0,90.0,,0.0,0.0,False,False,50.0,quoted_mid_wide
SAM,2026-08-18T17:00:00+00:00,7.0,93.0,50.0,86.0,,0.0,0.0,False,False,50.0,quoted_mid_wide
SAM,2026-08-18T22:00:00+00:00,7.0,90.0,48.5,83.0,,0.0,0.0,False,False,48.5,quoted_mid_wide
SAM,2026-08-19T00:00:00+00:00,7.0,90.0,48.5,83.0,,0.0,0.0,False,False,48.5,quoted_mid_wide
SAM,2026-08-19T02:00:00+00:00,7.0,90.0,48.5,83.0,,0.0,0.0,False,False,48.5,quoted_mid_wide
SAM,2026-08-19T18:00:00+00:00,7.0,30.0,18.5,23.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T03:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T04:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T05:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T06:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T07:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T08:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T09:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T10:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T11:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T12:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T13:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T14:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T15:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T16:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T17:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T18:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T19:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T20:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T21:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T22:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-21T23:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-22T00:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-22T01:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-22T02:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-22T03:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-22T04:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
SAM,2026-08-22T05:00:00+00:00,8.0,29.0,18.5,21.0,,0.0,0.0,False,False,18.5,quoted_mid_wide
